emergency_type,description,priority
Accident,A catastrophic road accident occurred in the city center during the evening. People are trapped and critically injured.,Critical
Storm,Strong winds are affecting near the bridge during the afternoon. No major damage has been reported.,Low
Accident,A vehicle has overturned after an accident in the city center during the night. People are trapped inside.,High
Accident,A minor road accident occurred near the shopping complex during the afternoon. No serious injuries have been reported.,Low
Flood,Rapidly rising water is threatening homes near the hospital about ten minutes ago. Immediate rescue support is needed.,High
Earthquake,Severe earthquake damage has affected multiple buildings near the school during the evening. Rescue teams are urgently needed.,Critical
Storm,Heavy rainfall and strong winds are disrupting transportation near the railway station during the morning.,Medium
Flood,Rainwater has entered a small part of the area near the shopping complex about ten minutes ago. No injuries are reported.,Low
Earthquake,A powerful earthquake has caused widespread destruction near the bus stand during the night. Many people may be trapped.,Critical
Flood,Flood water has entered some houses near the highway around twenty minutes ago. People are moving to safer areas.,Medium
Flood,A serious flood has affected in the city center during the morning. Residents are struggling to evacuate.,High
Flood,Minor waterlogging was reported near the school about ten minutes ago. Residents are able to move around.,Low
Accident,A catastrophic road accident occurred near the office area during the afternoon. People are trapped and critically injured.,Critical
Storm,A storm is passing through near the office area around twenty minutes ago. Residents are advised to stay indoors.,Low
Accident,A vehicle crashed into another vehicle near the office area a few minutes ago. Several people have minor injuries.,Medium
Earthquake,Minor ground shaking occurred near the main road during the morning. No major problems are visible.,Low
Earthquake,Minor ground shaking occurred in the residential area around twenty minutes ago. No major problems are visible.,Low
Fire,A severe fire is out of control near the highway during the evening. Multiple buildings and people are in immediate danger.,Critical
Crime,A serious armed crime has been reported near the shopping complex during the morning. The suspect may still be dangerous.,Critical
Storm,Extreme storm conditions have put many residents in immediate danger near the hospital during the evening.,Critical
Accident,A high-speed collision happened near the railway station less than one hour ago. Multiple injured people require medical help.,High
Earthquake,A severe earthquake has caused casualties and collapsed buildings in a crowded street about ten minutes ago. Emergency rescue is critical.,Critical
Crime,A serious criminal incident was reported near the bus stand during the morning. Immediate police response is needed.,High
Medical,Someone has collapsed in the nearby village less than one hour ago. The person requires urgent medical attention.,High
Earthquake,Multiple structures have collapsed after a major earthquake near the shopping complex during the morning. Immediate rescue is required.,Critical
Fire,A minor fire started in near the market during the night. Nearby residents are monitoring the situation.,Low
Flood,A major flood has completely blocked roads near the bus stand about ten minutes ago. Many residents require immediate evacuation.,Critical
Crime,A violent confrontation is taking place near the main road during the night. Nearby people are in danger.,High
Earthquake,Strong earthquake activity has blocked roads near the railway station during the morning. Emergency response is needed.,High
Flood,Minor waterlogging was reported near the school during the afternoon. Residents are able to move around.,Low
Other,A major incident has placed multiple people in immediate danger near the bus stand less than one hour ago.,Critical
Crime,A person was attacked near the bus stand a few minutes ago. The suspect may still be nearby.,High
Flood,Drainage is blocked and water is accumulating near the market a few minutes ago. The situation is currently manageable.,Low
Storm,Moderate storm activity is affecting in the nearby village around twenty minutes ago. No injuries are reported.,Low
Landslide,Heavy soil movement has damaged roads in a residential building during the afternoon. Emergency assistance is needed.,High
Flood,A large area is underwater near the bus stand less than one hour ago. Multiple people are stranded and in immediate danger.,Critical
Flood,Flooding has cut off access to near the office area during the morning. Several residents need emergency assistance.,High
